"NIH Spending Categorization","Project Terms","Project Title","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","DUNS Number","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available"," ","Bioaerosols in Midwest Greenhouses and Respiratory Symptoms Among the Workers","NIOSH","7470834","6/16/2008 12:00:00 AM","PAR-06-551","1R03OH009241-01A1","1","R03","OH","009241","01","A","ROBISON, WILLIAM","8/1/2008 12:00:00 AM","7/31/2010 12:00:00 AM","SOH"," ","6996354","ADHIKARI, ATIN ","Not Applicable","01","PUBLIC HEALTH & PREV MEDICINE","041064767","US","39.142998","-84.503581","1523902","UNIVERSITY OF CINCINNATI","CINCINNATI","OH","SCHOOLS OF MEDICINE","452210001","UNITED STATES","N","8/1/2008 12:00:00 AM","7/31/2009 12:00:00 AM","262","Non-SBIR/STTR","2008","83290"," ","NIOSH"," "," "," ","83290",
"No NIH Category available"," ","Intelligent Wearable Analyzer for Vapor Exposure (iWAVE) in Transportation Sector","NIOSH","9929501","5/11/2020 12:00:00 AM","PAR-13-129","5R01OH011350-02","5","R01","OH","011350","02"," ","KARR, JOAN","6/1/2019 12:00:00 AM","5/31/2021 12:00:00 AM","SOH"," ","8652375","AGAH, MASOUD ","Not Applicable","09","ENGINEERING (ALL TYPES)","003137015","US","37.201037","-80.410816","8968001","VIRGINIA POLYTECHNIC INST AND ST UNIV","BLACKSBURG","VA","BIOMED ENGR/COL ENGR/ENGR STA","240616100","UNITED STATES","N","6/1/2020 12:00:00 AM","5/31/2021 12:00:00 AM","262","Non-SBIR/STTR","2020","594560"," ","NIOSH"," "," "," ","594560",
"No NIH Category available"," ","A Miniaturized GC with MEMS-Enabled Selective Preconcentration for Monitoring Exp","NIOSH","8531726","7/16/2013 12:00:00 AM","PAR-09-139","5R21OH010330-02","5","R21","OH","010330","02"," ","DEARWENT, STEVE","7/1/2012 12:00:00 AM","6/30/2015 12:00:00 AM","SOH"," ","8652375","AGAH, MASOUD ","Not Applicable","09","ENGINEERING (ALL TYPES)","003137015","US","37.201037","-80.410816","8968001","VIRGINIA POLYTECHNIC INST AND ST UNIV","BLACKSBURG","VA","BIOMED ENGR/COL ENGR/ENGR STA","240616100","UNITED STATES","N","7/1/2013 12:00:00 AM","6/30/2015 12:00:00 AM","262","Non-SBIR/STTR","2013","231652"," ","NIOSH","149836","81816"," ","231652",
"No NIH Category available"," ","Intelligent Wearable Analyzer for Vapor Exposure (iWAVE) in Transportation Sector","NIOSH","9448740","5/10/2019 12:00:00 AM","PAR-13-129","1R01OH011350-01A1","1","R01","OH","011350","01","A","KARR, JOAN","6/1/2019 12:00:00 AM","5/31/2023 12:00:00 AM","SOH"," ","8652375","AGAH, MASOUD ","Not Applicable","09","ENGINEERING (ALL TYPES)","003137015","US","37.201037","-80.410816","8968001","VIRGINIA POLYTECHNIC INST AND ST UNIV","BLACKSBURG","VA","BIOMED ENGR/COL ENGR/ENGR STA","240616100","UNITED STATES","N","6/1/2019 12:00:00 AM","5/31/2020 12:00:00 AM","262","Non-SBIR/STTR","2019","513191"," ","NIOSH"," "," "," ","513191",
"No NIH Category available"," ","Intelligent Wearable Analyzer for Vapor Exposure (iWAVE) in Transportation Sector","NIOSH","10357551","6/1/2021 12:00:00 AM","PAR-13-129","5R01OH011350-03","5","R01","OH","011350","03"," "," ","6/1/2019 12:00:00 AM","5/31/2023 12:00:00 AM","SOH"," ","8652375","AGAH, MASOUD ","Not Applicable","09","ENGINEERING (ALL TYPES)","003137015","US","37.201037","-80.410816","8968001","VIRGINIA POLYTECHNIC INST AND ST UNIV","BLACKSBURG","VA","BIOMED ENGR/COL ENGR/ENGR STA","240616100","UNITED STATES","N","6/1/2021 12:00:00 AM","5/31/2022 12:00:00 AM","262","Non-SBIR/STTR","2021","611263"," ","NIOSH"," "," "," ","611263",
"No NIH Category available"," ","A Miniaturized GC with MEMS-Enabled Selective Preconcentration for Monitoring Exp","NIOSH","8359250","8/15/2012 12:00:00 AM","PAR-09-139","1R21OH010330-01","1","R21","OH","010330","01"," ","FREDERICK, LINDA J","7/1/2012 12:00:00 AM","6/30/2014 12:00:00 AM","SOH"," ","8652375","AGAH, MASOUD ","Not Applicable","09","ENGINEERING (ALL TYPES)","003137015","US","37.201037","-80.410816","8968001","VIRGINIA POLYTECHNIC INST AND ST UNIV","BLACKSBURG","VA","BIOMED ENGR/COL ENGR/ENGR STA","240616100","UNITED STATES","N","7/1/2012 12:00:00 AM","6/30/2013 12:00:00 AM","262","Non-SBIR/STTR","2012","185898"," ","NIOSH","125163","60735"," ","185898",
"No NIH Category available"," ","Johns Hopkins Occupational Safety and Health Education and Research Center","NIOSH","8115896","8/2/2011 12:00:00 AM","PAR-06-485","5T42OH008428-07","5","T42","OH","008428","07"," ","NEWHALL, JIM","7/1/2007 12:00:00 AM","6/30/2013 12:00:00 AM","ZOH1-COR(50)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2011 12:00:00 AM","6/30/2013 12:00:00 AM","262","Other","2011","1488559"," ","NIOSH"," "," "," ","1488559",
"No NIH Category available"," ","Johns Hopkins Occupational Safety and Health Education and Research Center","NIOSH","8122516","8/19/2010 12:00:00 AM","PAR-06-485","3T42OH008428-06S4","3","T42","OH","008428","06","S","TALTY, JOHN","7/1/2007 12:00:00 AM","6/30/2012 12:00:00 AM","ZOH1-COR(50)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2010 12:00:00 AM","6/30/2011 12:00:00 AM","262","Other","2010","79023"," ","NIOSH"," "," "," ","79023",
"No NIH Category available"," ","Johns Hopkins Occupational Safety and Health Education and Research Center","NIOSH","7893600","7/19/2010 12:00:00 AM","PAR-06-485","5T42OH008428-06","5","T42","OH","008428","06"," ","TALTY, JOHN","7/1/2007 12:00:00 AM","6/30/2012 12:00:00 AM","ZOH1-COR(50)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2010 12:00:00 AM","6/30/2011 12:00:00 AM","262","Other","2010","1288571"," ","NIOSH"," "," "," ","1288571",
"No NIH Category available"," ","Johns Hopkins Occupational Safety and Health Education and Research Center","NIOSH","7477080","6/23/2008 12:00:00 AM","PAR-06-485","5T42OH008428-04","5","T42","OH","008428","04"," ","TALTY, JOHN","7/1/2007 12:00:00 AM","6/30/2012 12:00:00 AM","ZOH1-COR(50)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2008 12:00:00 AM","6/30/2009 12:00:00 AM","262","Other","2008","1164500"," ","NIOSH"," "," "," ","1164500",
"No NIH Category available"," ","Johns Hopkins Occupational Safety and Health Education and Research Center","NIOSH","7896201","8/5/2009 12:00:00 AM","PAR-06-485","3T42OH008428-05S1","3","T42","OH","008428","05","S","TALTY, JOHN","7/1/2007 12:00:00 AM","6/30/2012 12:00:00 AM","ZOH1-COR(50)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2009 12:00:00 AM","6/30/2010 12:00:00 AM","262","Other","2009","121855"," ","NIOSH"," "," "," ","121855",
"No NIH Category available"," ","Johns Hopkins Occupational Safety and Health Education and Research Center","NIOSH","8487493","6/28/2012 12:00:00 AM","PAR-06-485","3T42OH008428-07S1","3","T42","OH","008428","07","S","SANDERSON, LEE M","7/1/2007 12:00:00 AM","6/30/2013 12:00:00 AM","ZOH1-COR(50)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2011 12:00:00 AM","6/30/2013 12:00:00 AM","262","Other","2012","1374429"," ","NIOSH","1297644","76785"," ","1374429",
"No NIH Category available"," ","Johns Hopkins Occupational Safety and Health Education and Research Center","NIOSH","7665262","8/1/2008 12:00:00 AM","PAR-06-485","3T42OH008428-04S2","3","T42","OH","008428","04","S","TALTY, JOHN","7/1/2008 12:00:00 AM","6/30/2009 12:00:00 AM","ZOH1-COR(50)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2008 12:00:00 AM","6/30/2009 12:00:00 AM","262","Other","2008","39290"," ","NIOSH"," "," "," ","39290",
"No NIH Category available"," ","Targeted Research Training Core","NIOSH","7487655","7/2/2008 12:00:00 AM","PAR-06-485","3T42OH008428-04S1","3","T42","OH","008428","04","S","TALTY, JOHN","7/1/2008 12:00:00 AM","6/30/2012 12:00:00 AM","ZOH1-EEO(51)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2008 12:00:00 AM","6/30/2009 12:00:00 AM","262","Other","2008","98000"," ","NIOSH"," "," "," ","98000",
"No NIH Category available"," ","Occupational Safety and Health Education and Research Centers","NIOSH","7124830","7/28/2006 12:00:00 AM","PAR-05-107","3T42OH008428-02S1","3","T42","OH","008428","02","S","TALTY, JOHN","7/1/2006 12:00:00 AM","6/30/2007 12:00:00 AM","ZOH1-BSI(54)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2006 12:00:00 AM","6/30/2007 12:00:00 AM","262","Other","2006","60000"," ","NIOSH"," "," "," ","60000",
"No NIH Category available"," ","Johns Hopkins Occupational Safety and Health Education and Research Center","NIOSH","7645596","7/10/2009 12:00:00 AM","PAR-06-485","5T42OH008428-05","5","T42","OH","008428","05"," ","TALTY, JOHN","7/1/2007 12:00:00 AM","6/30/2012 12:00:00 AM","ZOH1-COR(50)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2009 12:00:00 AM","6/30/2010 12:00:00 AM","262","Other","2009","1301790"," ","NIOSH"," "," "," ","1301790",
"No NIH Category available"," ","Johns Hopkins Occupational Safety and Health Education and Research Center","NIOSH","7287996","7/25/2007 12:00:00 AM","PAR-06-485","2T42OH008428-03","2","T42","OH","008428","03"," ","TALTY, JOHN","7/1/2007 12:00:00 AM","6/30/2012 12:00:00 AM","ZOH1-COR(50)R"," ","1958448","AGNEW, JACQUELINE ","Not Applicable","03","PUBLIC HEALTH & PREV MEDICINE","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF PUBLIC HEALTH","212182680","UNITED STATES","N","7/1/2007 12:00:00 AM","6/30/2008 12:00:00 AM","262","Other","2007","1230500"," ","NIOSH"," "," "," ","1230500",
"No NIH Category available"," ","NIOSH Training Project Grant (TPG): Industrial Hygiene University of Toledo","NIOSH","8915919","8/10/2015 12:00:00 AM","PAR-10-288","2T03OH008605-10","2","T03","OH","008605","10"," ","MAPLES, ELIZABETH","7/1/2015 12:00:00 AM","6/30/2020 12:00:00 AM","ZOH1-DYB(53)"," ","1886559","AKBAR-KHANZADEH, FARHANG ","Not Applicable","09","PUBLIC HEALTH & PREV MEDICINE","807418939","US","41.62128","-83.615756","229501","UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS","TOLEDO","OH","SCHOOLS OF MEDICINE","436142595","UNITED STATES","N","7/1/2015 12:00:00 AM","6/30/2016 12:00:00 AM","262","Other","2015","71951"," ","NIOSH","70727","1224"," ","71951",
"No NIH Category available"," ","NIOSH Training Project Grant (TPG): Industrial Hygiene University of Toledo","NIOSH","9124619","5/27/2016 12:00:00 AM","PAR-10-288","5T03OH008605-11","5","T03","OH","008605","11"," ","MAPLES, ELIZABETH","7/1/2015 12:00:00 AM","6/30/2020 12:00:00 AM","ZOH1-DYB(53)"," ","1886559","AKBAR-KHANZADEH, FARHANG ","Not Applicable","09","PUBLIC HEALTH & PREV MEDICINE","807418939","US","41.62128","-83.615756","229501","UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS","TOLEDO","OH","SCHOOLS OF MEDICINE","436142595","UNITED STATES","N","7/1/2016 12:00:00 AM","6/30/2017 12:00:00 AM","262","Other","2016","71951"," ","NIOSH","70727","1224"," ","71951",
"No NIH Category available"," ","Crystalline Silica and RSP Control Methods Effectiveness during Concrete Grinding","NIOSH","7302577","9/7/2007 12:00:00 AM","PA-04-038","1R01OH009271-01","1","R01","OH","009271","01"," ","BOARD, SUSAN","9/1/2007 12:00:00 AM","8/31/2009 12:00:00 AM","SOH"," ","1886559","AKBAR-KHANZADEH, FARHANG ","Not Applicable","05","PUBLIC HEALTH & PREV MEDICINE","807418939","US","41.62128","-83.615756","229501","UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS","TOLEDO","OH","SCHOOLS OF MEDICINE","436142595","UNITED STATES","N","9/1/2007 12:00:00 AM","8/31/2009 12:00:00 AM","262","Non-SBIR/STTR","2007","185375"," ","NIOSH"," "," "," ","185375",
"No NIH Category available"," ","NIOSH Training Project Grant (TPG): Industrial Hygiene University of Toledo","NIOSH","9282285","7/3/2017 12:00:00 AM","PAR-10-288","5T03OH008605-12","5","T03","OH","008605","12"," ","MAPLES, ELIZABETH","7/1/2015 12:00:00 AM","6/30/2020 12:00:00 AM","ZOH1-DYB(53)"," ","1886559","AKBAR-KHANZADEH, FARHANG ","Not Applicable","09","PUBLIC HEALTH & PREV MEDICINE","807418939","US","41.62128","-83.615756","229501","UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS","TOLEDO","OH","SCHOOLS OF MEDICINE","436142595","UNITED STATES","N","7/1/2017 12:00:00 AM","6/30/2018 12:00:00 AM","262","Other","2017","71951"," ","NIOSH","70727","1224"," ","71951",
"No NIH Category available"," ","Using the Ohio Bureau of Workers' Compensation claim and policy data systems for surveillance and prevention of occupational injuries, illnesses, fatalities, and exposures to occupational hazards.","NIOSH","9469343","7/12/2018 12:00:00 AM","PAR-14-227","5U60OH011141-03","5","U60","OH","011141","03"," "," ","8/1/2016 12:00:00 AM","7/31/2019 12:00:00 AM","ZOH1-DYB(01)"," ","12422662","AL-TARAWNEH, IBRAHEEM ","Not Applicable","15","Unavailable","074859047","US"," "," ","10037343","OHIO STATE BUREAU/WORKERS' COMPENSATION","PICKERINGTON","OH","Other Domestic Non-Profits","431478310","UNITED STATES","N","8/1/2018 12:00:00 AM","7/31/2019 12:00:00 AM","262","Other","2018","200000"," ","NIOSH"," "," "," ","200000",
"No NIH Category available"," ","Using the Ohio Bureau of Workers' Compensation claim and policy data systems for surveillance and prevention of occupational injuries, illnesses, fatalities, and exposures to occupational hazards.","NIOSH","9322293","4/7/2017 12:00:00 AM","PAR-14-227","5U60OH011141-02","5","U60","OH","011141","02"," ","INSERRA, STEVE","8/1/2016 12:00:00 AM","7/31/2019 12:00:00 AM","ZOH1-DYB(01)"," ","12422662","AL-TARAWNEH, IBRAHEEM ","Not Applicable","15","Unavailable","074859047","US"," "," ","10037343","OHIO STATE BUREAU/WORKERS' COMPENSATION","PICKERINGTON","OH","Other Domestic Non-Profits","431478310","UNITED STATES","N","8/1/2017 12:00:00 AM","7/31/2018 12:00:00 AM","262","Other","2017","200000"," ","NIOSH","200000"," "," ","200000",
"No NIH Category available"," ","Using the Ohio Bureau of Workers' Compensation claim and policy data systems for surveillance and prevention of occupational injuries, illnesses, fatalities, and exposures to occupational hazards.","NIOSH","9135013","7/28/2016 12:00:00 AM","PAR-14-227","1U60OH011141-01","1","U60","OH","011141","01"," ","INSERRA, STEVE","8/1/2016 12:00:00 AM","7/31/2019 12:00:00 AM","ZOH1-DYB(01)"," ","12422662","AL-TARAWNEH, IBRAHEEM ","Not Applicable","15","Unavailable","074859047","US"," "," ","10037343","OHIO STATE BUREAU/WORKERS' COMPENSATION","PICKERINGTON","OH","Other Domestic Non-Profits","431478310","UNITED STATES","N","8/1/2016 12:00:00 AM","7/31/2017 12:00:00 AM","262","Other","2016","200000"," ","NIOSH","200000"," "," ","200000",
"No NIH Category available"," ","Bronchial Reactivity and the Course of Lung Function After WTC Exposure","NIOSH","8546215","7/24/2013 12:00:00 AM","PAR-12-126","5U01OH010411-02","5","U01","OH","010411","02"," ","KUBALE, TRAVIS","9/1/2012 12:00:00 AM","2/28/2016 12:00:00 AM","ZOH1-GGB(55)"," ","2073224","ALDRICH, THOMAS K.","Not Applicable","14","Unavailable","110521739","US","40.851026","-73.844361","9433501","ALBERT EINSTEIN COLLEGE OF MEDICINE","BRONX","NY","Domestic Higher Education","104611900","UNITED STATES","N","9/1/2013 12:00:00 AM","2/28/2016 12:00:00 AM","262","Non-SBIR/STTR","2013","497608"," ","NIOSH","351906","235777"," ","497608",
"No NIH Category available"," ","Bronchial Reactivity and the Course of Lung Function After WTC Exposure","NIOSH","8472289","9/14/2012 12:00:00 AM","PAR-12-126","1U01OH010411-01","1","U01","OH","010411","01"," ","KUBALE, TRAVIS","9/1/2012 12:00:00 AM","8/31/2014 12:00:00 AM","ZOH1-GGB(55)"," ","2073224","ALDRICH, THOMAS K.","Not Applicable","14","Unavailable","110521739","US","40.851026","-73.844361","9433501","ALBERT EINSTEIN COLLEGE OF MEDICINE","BRONX","NY","Domestic Higher Education","104611900","UNITED STATES","N","9/1/2012 12:00:00 AM","8/31/2013 12:00:00 AM","262","Non-SBIR/STTR","2012","494666"," ","NIOSH","296207","198459"," ","494666",
